66808,15875,57273
56891,2658,63198
67170,13852,22738
34042,76706,39911
48789,35433,67250
16982,1436,35054
30664,71747,26236
77873,70059,20919
14515,77582,79377
14927,1271,61792
83150,73855,35726
30011,68572,37323
46666,11321,68709
18580,19768,48589
1678,49167,80667
53735,49678,74907
31330,66239,83043
56786,21990,48648
27272,95316,92953
88698,10094,27502
84129,69753,56007
98437,62344,68158
57706,31327,42124
37900,8092,70301
92452,26287,29055
49397,5402,7464
60200,11594,10924
28251,43712,16520
21465,89343,52643
722,79468,67298
96055,95806,16892
53396,3388,37087
58231,5473,44823
67015,54505,90686
7568,26733,5426
30225,88131,47081
48546,31703,16899
73387,88307,28928
37345,51215,33299
10477,72760,41980
67959,53748,27917
46062,24863,36571
61797,68768,47448
47851,95604,42562
50608,86964,73465
2533,40563,30557
2479,25486,46373
58095,65273,74619
26648,93896,18682
19089,37543,24679
83328,12159,5985
45861,53119,43832
26905,36378,43340
28393,59707,46750
79095,27867,9539
45999,50356,46800
48434,24110,19365
98776,22975,3632
24301,41595,54570
19092,39143,95989
19491,69967,2751
6170,84696,12445
45341,12379,16627
99030,12432,93196
475,1903,5608
94738,41881,15631
36548,5330,39213
54379,81732,7133
38046,66094,56324
53862,18493,36163
18525,88575,36712
52155,12040,44165
93225,32248,41528
17050,39279,67365
11362,91387,48036
1920,94710,25583
67092,43000,10909
17636,63041,81919
92771,2885,55387
76132,10765,32736
86913,40775,71773
51022,69286,56400
31050,54691,87520
8297,96495,65666
14356,29991,84667
83058,27507,52783
23284,50618,99076
39427,21015,98746
29841,55124,23064
77665,82102,55980
91673,27096,56654
33793,40834,55240
3241,77900,81042
67612,23639,7614
5113,74934,53891
2080,52347,63357
11806,44234,3665
63597,89987,89413
82629,55756,18584
31397,10300,80577
28503,34821,99096
46444,11050,25371
81583,64604,97189
21724,83579,66801
5490,76338,42061
52868,26468,87790
81891,37939,99566
4046,41864,66049
82211,53803,40510
89147,26013,98706
1583,77376,38712
70779,94281,91228
80100,51912,55834
61207,82185,21781
45741,52593,97037
80229,69180,47232
16922,74346,9156
20665,20022,90189
25862,90040,18565
17071,40543,28878
4817,47545,88307
669,41976,29570
38705,30439,52566
55940,78422,76623
44759,28937,81677
64001,48945,20565
60379,9996,31756
7742,58044,3582
14819,70895,93983
49441,60700,28757
63203,55236,41254
43267,83618,41126
74675,69775,56928
76457,90025,78844
69370,76187,43171
18269,20481,10709
89684,75427,94135
27809,250,95
9039,49160,46811
42594,33352,69718
65699,89042,68347
54454,22242,48820
92437,29713,23039
84766,73281,7187
92879,16526,61126
46791,6872,65460
50396,64814,31091
16381,63568,68484
21282,18641,66545
54798,85780,35757
58418,46236,70882
28464,1333,59095
41881,47871,24086
60936,36566,51268
72383,85433,68310
87929,10891,38196
69150,42334,49347
62352,38373,50540
54089,93502,5845
6363,75068,39594
21132,58629,19572
81079,36820,31768
10463,23205,97447
18318,97470,7101
62144,34562,33472
25564,50195,66470
68007,7861,82999
81526,51805,64573
14578,38033,38634
86533,65273,84268
34221,3379,51527
28841,91825,48383
98536,55906,25763
82220,24833,6197
88851,73589,48878
327,88586,57420
20974,24343,46443
19282,70178,60310
1970,28994,49507
34845,40472,47965
95164,85301,62557
8024,1479,42924
93582,38190,74933
92178,49083,47658
23435,49972,72193
45155,73612,83127
54554,37510,85462
39733,52341,43854
53475,53547,43292
40209,83085,11061
13587,5459,5015
69896,60231,31003
14897,33707,85479
28810,86400,22502
5530,86554,20505
5227,2089,73227
37169,61539,88822
57452,46634,16907
16657,16246,22182
5786,94318,50469
33186,94498,90648
90510,43547,73177
20489,41228,75588
65612,99306,37707
30640,19834,6226
35682,24949,19739
89261,54234,81275
89909,19112,99695
33334,69203,82860
93282,80761,72500
60862,80029,37904
89729,48551,31038
